Min Plate Aspect Ratio	Max Plate Aspect Ratio	Min Char Aspect Ratio	Max Char Aspect Ratio	Time running	Best Time	Worst Time	Total pictures	Total tracks	Correct Images	Correct tracks
5	6.5	0.2	1	282.243444	0.094254732	0.219957829	1080	36	0.332407407	0.777777778
4.5	6	0.2	1	283.4722481	0.090757608	0.20732069	1080	36	0.332407407	0.777777778
4	9.5	0.1	0.9	284.2917142	0.092781544	0.223424673	1080	36	0.332407407	0.777777778
4.5	9	0.1	0.9	286.640147	0.09075737	0.236171246	1080	36	0.332407407	0.777777778
4	10	0.1	0.9	289.6477337	0.089795351	0.242013931	1080	36	0.332407407	0.777777778
4.5	9.5	0.1	0.9	292.310565	0.091996908	0.236397505	1080	36	0.332407407	0.777777778
4.5	10	0.1	0.9	293.0273087	0.08921361	0.233906507	1080	36	0.332407407	0.777777778
2	7	0.1	0.9	299.4170041	0.090149879	0.214022636	1080	36	0.332407407	0.777777778
2	7.5	0.1	0.9	300.4627335	0.090758801	0.260744333	1080	36	0.332407407	0.777777778
2	8	0.1	0.9	301.3297153	0.09481144	0.259307146	1080	36	0.332407407	0.777777778
2	8.5	0.1	0.9	301.9587722	0.092417955	0.22140646	1080	36	0.332407407	0.777777778
2	9	0.1	0.9	302.1960502	0.094929218	0.228389025	1080	36	0.332407407	0.777777778
2	9.5	0.1	0.9	302.8329329	0.091275692	0.222545147	1080	36	0.332407407	0.777777778
2	6	0.2	1	303.1361027	0.091754913	0.237393141	1080	36	0.332407407	0.777777778
2	10	0.1	0.9	304.2198527	0.089839458	0.25929141	1080	36	0.332407407	0.777777778
3.5	6.5	0.1	0.9	270.3222256	0.091314793	0.213400602	1080	36	0.330555556	0.777777778
3	6.5	0.1	0.9	270.5064409	0.087912798	0.217949629	1080	36	0.330555556	0.777777778
2.5	6.5	0.1	0.9	271.0444717	0.092288971	0.216099977	1080	36	0.330555556	0.777777778
4	6.5	0.1	0.9	272.3436852	0.087788343	0.215858459	1080	36	0.330555556	0.777777778
4.5	6.5	0.1	0.9	273.1192222	0.08876133	0.224689484	1080	36	0.330555556	0.777777778
2	6.5	0.1	0.9	298.4836533	0.095743895	0.233929634	1080	36	0.330555556	0.777777778
4	7	0.1	1	296.2372861	0.091295004	0.236390591	1080	36	0.32962963	0.777777778
3.5	7	0.1	1	297.0909081	0.090756893	0.237342596	1080	36	0.32962963	0.777777778
3	7	0.1	1	297.4310308	0.090296268	0.236812592	1080	36	0.32962963	0.777777778
4	7.5	0.1	1	297.4488189	0.090736389	0.238374233	1080	36	0.32962963	0.777777778
2.5	7	0.1	1	298.0951142	0.090789557	0.240932226	1080	36	0.32962963	0.777777778
3.5	7.5	0.1	1	298.2180617	0.089782715	0.238405228	1080	36	0.32962963	0.777777778
4	8	0.1	1	298.3203576	0.089758873	0.237390995	1080	36	0.32962963	0.777777778
3	7.5	0.1	1	298.656275	0.090289354	0.237841606	1080	36	0.32962963	0.777777778
2	7	0.1	1	298.6988597	0.091315031	0.237959385	1080	36	0.32962963	0.777777778
3.5	8	0.1	1	298.8966393	0.090756893	0.237359762	1080	36	0.32962963	0.777777778
4	8.5	0.1	1	299.0005927	0.090765953	0.236864805	1080	36	0.32962963	0.777777778
2.5	7.5	0.1	1	299.2683835	0.090288401	0.237361193	1080	36	0.32962963	0.777777778
3	8	0.1	1	299.5125773	0.090759754	0.236938238	1080	36	0.32962963	0.777777778
2	7.5	0.1	1	299.6089776	0.090288877	0.236366034	1080	36	0.32962963	0.777777778
3.5	8.5	0.1	1	299.6406608	0.090735435	0.236705065	1080	36	0.32962963	0.777777778
4	9	0.1	1	299.7703996	0.090782881	0.237374067	1080	36	0.32962963	0.777777778
2.5	8	0.1	1	300.2491136	0.089761257	0.23795867	1080	36	0.32962963	0.777777778
3	8.5	0.1	1	300.2541804	0.090289593	0.238489628	1080	36	0.32962963	0.777777778
3.5	9	0.1	1	300.3116472	0.09175396	0.238353968	1080	36	0.32962963	0.777777778
2	8	0.1	1	300.3465443	0.090730429	0.236184359	1080	36	0.32962963	0.777777778
4	9.5	0.1	1	300.3834281	0.090734959	0.238362789	1080	36	0.32962963	0.777777778
2.5	8.5	0.1	1	300.8651772	0.091754198	0.237359524	1080	36	0.32962963	0.777777778
2	8.5	0.1	1	300.9365768	0.090291023	0.236943483	1080	36	0.32962963	0.777777778
3.5	9.5	0.1	1	301.0116975	0.090758085	0.23742485	1080	36	0.32962963	0.777777778
4	10	0.1	1	301.234587	0.090736389	0.241585732	1080	36	0.32962963	0.777777778
2.5	9	0.1	1	301.4404941	0.09077096	0.239467859	1080	36	0.32962963	0.777777778
2	9	0.1	1	301.7465346	0.089759588	0.236394644	1080	36	0.32962963	0.777777778
3.5	10	0.1	1	301.9549954	0.089789867	0.239384413	1080	36	0.32962963	0.777777778
2.5	9.5	0.1	1	302.0337808	0.090319872	0.237925768	1080	36	0.32962963	0.777777778
2	9.5	0.1	1	302.3585575	0.089933395	0.241375446	1080	36	0.32962963	0.777777778
2.5	10	0.1	1	303.25629	0.089731693	0.239627123	1080	36	0.32962963	0.777777778
2	10	0.1	1	303.2828379	0.090322971	0.239364386	1080	36	0.32962963	0.777777778
3	9	0.1	1	311.5473363	0.090729237	0.245439529	1080	36	0.32962963	0.777777778
3	9.5	0.1	1	314.4155684	0.09483695	0.245497704	1080	36	0.32962963	0.777777778
3	10	0.1	1	317.2405956	0.094134092	0.263753653	1080	36	0.32962963	0.777777778
4.5	7	0.1	1	463.7573867	0.114693403	0.393930674	1080	36	0.32962963	0.777777778
4.5	10	0.1	1	472.6043963	0.112220526	0.377690077	1080	36	0.32962963	0.777777778
4.5	8	0.1	1	475.0468879	0.122675657	0.402935982	1080	36	0.32962963	0.777777778
4.5	8.5	0.1	1	475.4158769	0.11170125	0.345991373	1080	36	0.32962963	0.777777778
4.5	7.5	0.1	1	480.6058819	0.116687775	0.338628769	1080	36	0.32962963	0.777777778
4.5	9	0.1	1	480.649776	0.117688417	0.401038885	1080	36	0.32962963	0.777777778
4.5	9.5	0.1	1	481.322902	0.113212824	0.343424082	1080	36	0.32962963	0.777777778
5	6	0.2	0.9	258.9240079	0.088765144	0.202459097	1080	36	0.327777778	0.777777778
4	6.5	0.1	1	295.2482185	0.089766741	0.236403942	1080	36	0.327777778	0.777777778
3.5	6.5	0.1	1	295.8071961	0.091733217	0.238355637	1080	36	0.327777778	0.777777778
3	6.5	0.1	1	296.5245981	0.090264559	0.237488985	1080	36	0.327777778	0.777777778
2.5	6.5	0.1	1	296.9129019	0.089734554	0.236932755	1080	36	0.327777778	0.777777778
2	6.5	0.1	1	297.4615567	0.090762377	0.237482071	1080	36	0.327777778	0.777777778
4.5	6.5	0.1	1	471.9734826	0.115696669	0.355568886	1080	36	0.327777778	0.777777778
4.5	8	0	0.9	583.1028974	0.151594162	0.439823389	1080	36	0.326851852	0.75
4.5	7	0	0.9	583.9600711	0.172538757	0.428872585	1080	36	0.326851852	0.75
4.5	7.5	0	0.9	584.366919	0.161567688	0.424373388	1080	36	0.326851852	0.75
3.5	7	0	0.9	585.5989447	0.158575535	0.501658201	1080	36	0.326851852	0.75
4.5	8.5	0	0.9	585.7996609	0.162564754	0.482712507	1080	36	0.326851852	0.75
4	7	0	0.9	586.2965522	0.162565231	0.451791048	1080	36	0.326851852	0.75
4	7.5	0	0.9	587.8978832	0.160570383	0.443320751	1080	36	0.326851852	0.75
4.5	9	0	0.9	588.0357635	0.172538042	0.473732948	1080	36	0.326851852	0.75
3.5	7.5	0	0.9	588.4171951	0.152592182	0.4717381	1080	36	0.326851852	0.75
4.5	9.5	0	0.9	589.0983136	0.159572363	0.510141611	1080	36	0.326851852	0.75
3	7	0	0.9	590.3646386	0.161568642	0.462762117	1080	36	0.326851852	0.75
3.5	8	0	0.9	590.8086715	0.155584097	0.511631966	1080	36	0.326851852	0.75
4	8	0	0.9	591.0687058	0.158575535	0.462762117	1080	36	0.326851852	0.75
4	8.5	0	0.9	591.1860583	0.147605181	0.441818476	1080	36	0.326851852	0.75
